date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:45	253/253	---M--	200	added ('OK')	text/plain	etag:W/%22fd-8CdjgZZ5Wv4Mk44TtN1lKhBKUn8%22	https://www.180dcberkeley.com/robots.txt		(from )
22:27:50	577101/577101	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2016:57:45%20GMT	https://www.180dcberkeley.com/	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/index.html	(from )
22:27:50	2665/2665	---M--	200	added ('OK')	image/png	date:Fri,%2007%20May%202021%2016:36:11%20GMT	https://static.wixstatic.com/media/83c157_e523edff5fdf4081aff1e893a538e37a~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/83c157_e523edff5fdf4081aff1e893a538e37a~mv2.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_e523edff5fdf4081aff1e893a538e37a_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/83c157_e523edff5fdf4081aff1e893a538e37a_mv2.png	(from https://www.180dcberkeley.com/)
22:27:51	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.180dcberkeley.com/)
22:27:51	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.180dcberkeley.com/)
22:27:52	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2006:27:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/dc180/polyfill.io/v3/polyfill.mind82c.js	(from https://www.180dcberkeley.com/)
22:27:53	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2016:57:53%20GMT	https://www.180dcberkeley.com/decodeURIComponent(e	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/decodeURIComponent(e	(from https://www.180dcberkeley.com/)
22:27:54	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/dc180/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://www.180dcberkeley.com/)
22:27:54	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2016:57:54%20GMT	https://www.180dcberkeley.com/https:	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/https_	(from https://www.180dcberkeley.com/)
22:27:55	725/725	---M--	200	added ('OK')	text/xml	date:Fri,%2007%20May%202021%2016:57:55%20GMT	https://www.180dcberkeley.com/sitemap.xml	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/sitemap.xml	(from https://www.180dcberkeley.com/)
